Advent Of Ascension	LicenseRef-Advent-of-Ascension-License	Advent Of Ascension
Aether Continuation	LGPL-3.0-only	BetterNether Continuation
Aether: Lost Content Addon	LicenseRef-All-Rights-Reserved	Aether: Lost Content Addon
Age of Weapons - Reforged	MIT	Age of Weapons - Reforged
Ageing Spawners	MIT	Ageing Spawners
AgriCraft	MIT	AgriCraft Refitted
Akashic Tome	CC-BY-NC-SA-3.0	Akashic Tome
AkashicTome-1.2-12	NO_HIT	
Alchemistry	GPL-2.0-or-later	Alchemistry - Redox
Alfheim	MIT	Alfheim
Alfheim Lighting Engine	MIT	Alfheim
Alternate Current	MIT	Alternate Current
Alternative Rain Sounds	LicenseRef-All-Rights-Reserved	Alternative Rain Sounds
AlwaysEat	GPL-3.0-only	AlwaysAuth
Ambience	CC0-1.0	No Cave Ambience
Ambient Environment	MIT	Ambient Environment
AmbientSounds	LGPL-3.0-only	AmbientSounds
Ancient Spellcraft	LicenseRef-All-Rights-Reserved	Ancient Spellcraft
Anger Management	NO_HIT	
Animus	LicenseRef-All-Rights-Reserved	Anime Sky1
AnotherTips	MIT	AnotherTips
Antique Armory	LicenseRef-All-Rights-Reserved	Mob Armor Mod V3
Anvil Patch	LicenseRef-Unlicense-license	Anvil Patch - Evil
Apotheosis	NO_HIT	
AppleCore	NO_HIT	
AppleCore-mc1.12.2-3.2.0	NO_HIT	
AppleSkin	Unlicense	AppleSkin
AppleSkin-mc1.12-1.0.9	NO_HIT	
Applied Energistics 2	LicenseRef-Multiple	AE2UEL Extra
Aqua Acrobatics	NO_HIT	
Aqua Acrobatics [Forge]	NO_HIT	
ArchitectureCraft - TridentMC Version	MIT	Architecture Craft - TridentMC Version
Armor Curve	CC0-1.0	Armor HUD changes
Armor Points ++	MIT	Armor Points ++
Armor Toughness Bar	NO_HIT	
ArmoreableMobs	NO_HIT	
Armored Arms	MIT	Armored Arms
Armory Expansion	LicenseRef-All-Rights-Reserved	Pixelbreaker Expansion (Formerly Pixelbreaker Core)
Armourer's Workshop	NO_HIT	
Aroma1997Core	NO_HIT	
Aroma1997s-Dimensional-World	NO_HIT	
AromaBackup	NO_HIT	
ArtemisLib	NO_HIT	
Artisan Worktables 1.12	NO_HIT	
AssetMover	LGPL-3.0-only	AssetMover
Astral Additions	NO_HIT	
Astral Sorcery	Unlicense	Astral Sorcery Anti Anti Fake Player (ASAAFP)
Async Logger	LGPL-3.0-only	Async Logger
Athenaeum	NO_HIT	
Atlas Lib	LGPL-2.1-only	Atlas Lib
Attribute Fix	MIT	Reach Fix
AttributeFix	LGPL-2.1-only	AttributeFix
Atum 2: Return to the Sands	NO_HIT	
Authentic Shadows	LicenseRef-All-Rights-Reserved	Authentic Shadows
Auto Third Person	LGPL-3.0-or-later	Auto Third Person
AutoInput-1.12.1-3.0.0-universal	NO_HIT	
AutoPlant	CC0-1.0	Saplanting
AutoRegLib	LicenseRef-Multiple	AutoRegLib
AutoRegLib-1.3-32	NO_HIT	
AutoRun	LicenseRef-All-Rights-Reserved	AutoPunish
Avaritia	GPL-3.0-only	等价无尽机械 - PeojectE Avaritia Create
Avaritia 1.1x	NO_HIT	
Avaritia 1.1x Unofficial Extended Life	NO_HIT	
Avaritia IO	NO_HIT	
Avaritia Recipe Generator	NO_HIT	
Avaritia Tweaks	NO_HIT	
Avaritia's Complement	NO_HIT	
Avaritiaddons	NO_HIT	
B.A.S.E	MIT	SecurityCraft
BDLib	LicenseRef-XDs-MC-License	XD's Library
BNBGamingLib	NO_HIT	
Backpack Display	MIT	Backpack Display
Backpack Opener	MIT	Backpack Opener
BacoDifficulty	NO_HIT	
Bad Mobs	LGPL-2.1-only	Bad Mobs
Bad Wither No Cookie - Reloaded	MIT	Bad Wither No Cookie - Reloaded
Balkon's WeaponMod: Legacy	MIT	Balkon's WeaponMod: Legacy
Barebones Bossbars	LicenseRef-All-Rights-Reserved	Barebones Bossbars
Basic Nether Ores	MIT	Basic Nether Ores
Baubles	LGPL-3.0-only	Trinkets and Baubles
Baubley Elytra	LicenseRef-Custom-License	Baubley Elytra
Baubley Heart Canisters	MIT	Baubley Heart Canisters
BdLib	LicenseRef-XDs-MC-License	XD's Library
Bedrock Ores	MIT	Gravel GUI
Bedspreads	LGPL-3.0-or-later	Bedspreads
BehindYouV3	LicenseRef-GPL-3.0-with-Minecraft-Linking-Exception	BehindYouV3
Better 3D Beds	LicenseRef-All-Rights-Reserved	Better 3D Beds
Better Animals Plus Plus	NO_HIT	
Better Battle Towers	NO_HIT	
Better Biome Blend	Unlicense	Better Biome Blend
Better Burning	LGPL-2.1-only	Better Burning
Better Caves	LicenseRef-All-Rights-Reserved	Better Night Vision
Better Chat	LGPL-3.0-only	Better Chat
Better Dogs	LicenseRef-All-Rights-Reserved	Better Dogs
Better Foliage	CC-BY-NC-ND-4.0	Saturated Grass!
Better Furnaces Reforged	MIT	Better Furnaces Reforged
Better Gendustry	NO_HIT	
Better Hurt Timer	NO_HIT	
Better Night Vision	LGPL-3.0-only	Better Night Vision
Better Placement	Apache-2.0	Better Lightning Sounds
Better Signs	LicenseRef-All-Rights-Reserved	Better 3D Beds
Better Slimes	NO_HIT	
Better Title Screen	LicenseRef-All-Rights-Reserved	Better Title Screen
Better mobGriefing	LicenseRef-All-Rights-Reserved	Better Grinding Utils
BetterBuildersWands	MIT	BetterBuildersWandsFix
BetterBuildersWandsFix	MIT	BetterBuildersWandsFix
BetterEndForge Backport	NO_HIT	
BetterFps	MIT	Better Fusion Reactor for Mekanism
BetterFps-1.4.8	NO_HIT	
BetterNether	LGPL-3.0-only	BetterNether Continuation
BetterWaterSplashPotions	NO_HIT	
Bewitchment (Legacy)	NO_HIT	
Beyond Dimensions	MIT	Beyond Dimensions
BiblioCraft	NO_HIT	
Bigger Chat History	NO_HIT	
Bigger Crafting Tables	MPL-2.0	Bigger Crafting Tables
Bigger Packets Please	NO_HIT	
BilingualName	NO_HIT	
Binnie's Mods	LGPL-3.0-only	Binnie's Mods Patched
Biome Border Viewer	NO_HIT	
BiomeInfo	MIT	BiomeInfo
BiomeTweaker	NO_HIT	
BiomeTweakerCore	NO_HIT	
Biomes O' Plenty	LicenseRef-All-Rights-Reserved	Biomes O' Plenty
Blinking Ender Eyes	MIT	Blinking Ender Eyes
Blockcraftery	NO_HIT	
Blood Arsenal	NO_HIT	
Blood Magic	CC-BY-4.0	Blood Magic
Blood Smeltery	LGPL-2.1-only	Blood Smeltery
BloodMagic	CC-BY-4.0	Blood Magic
BloomTech	NO_HIT	
Blue's Better Cats	LicenseRef-All-Rights-Reserved	Blue's Better Cats
Blur	LGPL-3.0-only	No Pumpkin Blur
BnBGamingCore	NO_HIT	
BnBGamingLib	NO_HIT	
BnnWidget	NO_HIT	
Body Camera	CC-BY-4.0	Body Camera
Bookshelf	LGPL-2.1-only	Bookshelf
Borderless Mining	MIT	Borderless Mining
Born in a Barn	LicenseRef-All-Rights-Reserved	Born in a Barn
Botania	LicenseRef-Botania-License	Botania
Botania Needs These Things	NO_HIT	
Botania Tweaks	MIT	GuGu Utils
Botanic Additions	LicenseRef-All-Rights-Reserved	Botanic Additions
Botanic Bonsai	NO_HIT	
Bountiful Baubles	LicenseRef-All-Rights-Reserved	Bountiful Baubles Retextured
Brandon's Core	LicenseRef-CoFH-Dont-Be-a-Jerk-License	Brandons Core
Brandons Core	LicenseRef-CoFH-Dont-Be-a-Jerk-License	Brandons Core
BrandonsCore	LicenseRef-CoFH-Dont-Be-a-Jerk-License	Brandons Core
Bring Me The Rings	NO_HIT	
Bring Me The Rings!	NO_HIT	
Broken Wings	LicenseRef-Public-Domain	Broken Wings - Game Stages Edition
Building Gadgets	NO_HIT	
BuildingGadgets-2.8.1	NO_HIT	
CB Multipart	LGPL-2.1-only	CB Multipart
CC: Tweaked	Apache-2.0	CCUtils
CTM	LicenseRef-All-Rights-Reserved	[Ported] CTM Overhaul (Connected Textures)
CTM-MC1.12.2-1.0.1.30	NO_HIT	
CTR VCR	Apache-2.0	CTR VCR
Cake Chomps	LGPL-3.0-or-later	Cake Chomps
CalcMod	MIT	CalcMod
Calm Down Zombie Guy	NO_HIT	
Capsule	MIT	Capsule
Carbon Config	Apache-2.0	Carbon Config
Carry On	LGPL-3.0-only	Carry On
Cases	LicenseRef-All-Rights-Reserved	MegaLoot
Cassette Music Disc	LicenseRef-All-Rights-Reserved	Cassette Music Disc
Cathedral	NO_HIT	
CensoredASM	NO_HIT	
Ceramics	MIT	Ceramics
